,Unnamed: 0,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
78,78,Albany,US,2020-02-23 02:35:17,42.6,-73.97,30.0,68,20,4.05,few clouds,0.0,0.0
79,79,Galesong,ID,2020-02-23 02:39:49,-5.32,119.37,80.6,94,40,3.36,scattered clouds,0.0,0.0
80,80,Bambous Virieux,MU,2020-02-23 02:39:49,-20.34,57.76,75.2,100,40,2.24,shower rain,0.0,0.0
81,81,Saint Anthony,US,2020-02-23 02:39:49,45.02,-93.22,37.4,74,1,5.82,clear sky,0.0,0.0
82,82,Atuona,PF,2020-02-23 02:39:50,-9.8,-139.03,81.77,77,0,12.37,clear sky,0.0,0.0
83,83,Port Alfred,ZA,2020-02-23 02:39:50,-33.59,26.89,61.0,85,16,1.01,few clouds,0.0,0.0
84,84,Dingle,PH,2020-02-23 02:39:50,11.0,122.67,81.34,69,24,15.93,light rain,0.13,0.0
85,85,Esperance,AU,2020-02-23 02:39:50,-33.87,121.9,78.8,57,40,5.82,scattered clouds,0.0,0.0
86,86,Mashhad,IR,2020-02-23 02:39:50,36.3,59.61,48.2,81,20,6.93,few clouds,0.0,0.0
87,87,Lebu,CL,2020-02-23 02:39:51,-37.62,-73.65,50.9,97,5,3.33,clear sky,0.0,0.0
88,88,Colares,PT,2020-02-23 02:39:51,38.8,-9.45,62.01,58,0,5.82,clear sky,0.0,0.0
89,89,Madison,US,2020-02-23 02:39:51,34.73,-86.57,43.0,56,1,2.93,clear sky,0.0,0.0
90,90,Aasiaat,GL,2020-02-23 02:39:51,68.71,-52.87,-8.45,96,87,9.57,overcast clouds,0.0,0.0
91,91,Kosmonosy,CZ,2020-02-23 02:39:51,50.44,14.93,50.0,61,75,19.46,broken clouds,0.0,0.0
92,92,Kapaa,US,2020-02-23 02:39:52,22.08,-159.32,80.6,69,20,8.05,few clouds,0.0,0.0
93,93,Butaritari,KI,2020-02-23 02:39:52,3.07,172.79,84.38,77,41,12.08,light rain,1.13,0.0
94,94,Constitucion,CL,2020-02-23 02:36:43,-35.33,-72.42,51.35,92,16,3.13,few clouds,0.0,0.0
95,95,East London,ZA,2020-02-23 02:39:52,-33.02,27.91,67.21,67,92,17.0,light rain,0.25,0.0
96,96,Camargo,MX,2020-02-23 02:39:53,27.67,-105.17,69.19,36,100,8.21,overcast clouds,0.0,0.0
97,97,Poronaysk,RU,2020-02-23 02:39:53,49.22,143.12,23.97,93,100,20.18,light snow,0.0,1.13
98,98,Meulaboh,ID,2020-02-23 02:36:55,4.14,96.13,81.5,74,17,7.11,light rain,1.44,0.0
99,99,Rosarito,MX,2020-02-23 02:39:53,32.33,-117.03,62.6,76,75,6.93,broken clouds,0.0,0.0
100,100,Jamestown,US,2020-02-23 02:39:53,42.1,-79.24,37.99,43,1,9.17,clear sky,0.0,0.0
101,101,Del Rio,US,2020-02-23 02:39:54,29.36,-100.9,60.8,44,1,12.75,clear sky,0.0,0.0
102,102,Kahului,US,2020-02-23 02:39:54,20.89,-156.47,82.4,51,40,11.41,scattered clouds,0.0,0.0
103,103,Broome,US,2020-02-23 02:39:54,42.25,-75.83,30.99,85,1,4.7,clear sky,0.0,0.0
104,104,Alofi,NU,2020-02-23 02:38:20,-19.06,-169.92,84.2,79,75,12.75,broken clouds,0.0,0.0
105,105,Minervino Murge,IT,2020-02-23 02:39:54,41.08,16.08,45.0,52,100,8.05,overcast clouds,0.0,0.0
106,106,New Norfolk,AU,2020-02-23 02:39:55,-42.78,147.06,80.01,46,20,12.75,few clouds,0.0,0.0
107,107,Poum,NC,2020-02-23 02:39:55,-20.23,164.02,80.56,78,31,15.64,scattered clouds,0.0,0.0
108,108,Vaini,TO,2020-02-23 02:39:55,-21.2,-175.2,84.2,79,40,13.87,scattered clouds,0.0,0.0
109,109,Avarua,CK,2020-02-23 02:39:55,-21.21,-159.78,84.2,83,98,6.93,light rain,0.81,0.0
110,110,Wagar,SD,2020-02-23 02:39:55,16.15,36.2,58.96,85,0,8.95,clear sky,0.0,0.0
111,111,Arraial Do Cabo,BR,2020-02-23 02:37:45,-22.97,-42.03,74.1,81,100,14.97,light rain,1.06,0.0
112,112,Cherskiy,RU,2020-02-23 02:39:56,68.75,161.3,-17.18,94,94,5.64,overcast clouds,0.0,0.0
113,113,Xapuri,BR,2020-02-23 02:39:56,-10.65,-68.5,69.76,70,100,5.61,overcast clouds,0.0,0.0
